메뉴명,구분,가격(원),제철(월),1회제공량(g),HOT여부(Y/N),Kcal,탄수화물(g),단백질(g),지방(g),중복방지태그,알러지번호
쌀밥,rice,470,,200,N,306,65,6,2,r1,
현미밥,rice,510,,200,N,280,65,6,2,r2,
흑미밥,rice,530,,200,N,275,65,6,2,r3,
잡곡밥,rice,490,,200,N,281,65,6,2,r4,
보리밥,rice,470,,200,N,321,65,6,2,r5,
기장밥,rice,520,,200,N,279,65,6,2,r6,
차조밥,rice,480,,200,N,286,65,6,2,r7,
수수밥,rice,490,,200,N,280,65,6,2,r8,
콩밥,rice,520,,200,N,311,65,6,2,r9,
완두콩밥,rice,540,,200,N,319,65,6,2,r10,
팥밥,rice,510,,200,N,302,65,6,2,r11,
영양굴밥,rice,530,,200,N,296,65,6,2,r12,
콩나물밥,rice,490,,200,N,290,65,6,2,r13,
무밥,rice,530,,200,N,307,65,6,2,r14,
버섯밥,rice,450,,200,N,273,65,6,2,r15,
곤드레밥,rice,450,,200,N,299,65,6,2,r16,
취나물밥,rice,540,,200,N,317,65,6,2,r17,
우엉밥,rice,540,,200,N,308,65,6,2,r18,
연잎밥,rice,500,,200,N,327,65,6,2,r19,
대나무통밥,rice,470,,200,N,294,65,6,2,r20,
김치볶음밥,rice,1610,,250,N,471,70,10,15,r21,
새우볶음밥,rice,1490,,250,N,469,70,10,15,r22,
계란볶음밥,rice,1630,,250,N,484,70,10,15,r23,
햄야채볶음밥,rice,1480,,250,N,411,70,10,15,r24,
마늘볶음밥,rice,1580,,250,N,472,70,10,15,r25,
카레볶음밥,rice,1570,,250,N,465,70,10,15,r26,
소고기볶음밥,rice,1530,,250,N,480,70,10,15,r27,
베이컨볶음밥,rice,1460,,250,N,490,70,10,15,r28,
참치볶음밥,rice,1370,,250,N,482,70,10,15,r29,
날치알볶음밥,rice,1480,,250,N,421,70,10,15,r30,
게살볶음밥,rice,1520,,250,N,412,70,10,15,r31,
파인애플볶음밥,rice,1440,,250,N,485,70,10,15,r32,
나시고랭,rice,1450,,250,N,435,70,10,15,r33,
마라볶음밥,rice,1520,,250,N,473,70,10,15,r34,
제육덮밥,rice,2090,,350,N,612,85,15,20,r35,
오징어덮밥,rice,2070,,350,N,556,85,15,20,r36,
낙지덮밥,rice,2040,,350,N,642,85,15,20,r37,
불고기덮밥,rice,2070,,350,N,613,85,15,20,r38,
마파두부덮밥,rice,2120,,350,N,629,85,15,20,r39,
카레라이스,rice,2020,,350,N,565,85,15,20,r40,
하이라이스,rice,1980,,350,N,544,85,15,20,r41,
짜장밥,rice,1930,,350,N,579,85,15,20,r42,
마파두부밥,rice,1910,,350,N,561,85,15,20,r43,
잡채밥,rice,1820,,350,N,565,85,15,20,r44,
